,Name,Address,City,Province,Link
0,Scallywags Barbers,"6 Kinwarton Rd, Alcester, ENG, B49 6QT",Alcester,England,https://getsquire.com/discover/barbershop/scallywags-barbers-alcester
1,FORA,"69a London Road, Alderley Edge, ENG, SK9 7DY",Alderley-Edge,England,https://getsquire.com/discover/barbershop/fora-alderley-edge
2,Headcase Barbers - Alton,"3c Normandy Street, Alton, ENG, GU34 1DD",Alton,England,https://getsquire.com/discover/barbershop/headcase-barbers-alton-alton
3,Taylor Made Barbershop,"15a London Street, Basingstoke, ENG, RG21 7NT",Basingstoke,England,https://getsquire.com/discover/barbershop/taylor-made-barbershop-basingstoke
4,McNally Barbers,"73 Bower Street, Bedford, ENG, MK40 3RB",Bedford,England,https://getsquire.com/discover/barbershop/mcnally-barbers-bedford
5,Damiano Hair,"72 high street, Bedford, ENG, MK40 1NN",Bedford,England,https://getsquire.com/discover/barbershop/damiano-hair-bedford
6,Loui's Barbershop,"196 High Road, Benfleet, ENG, SS7 5LD",Benfleet,England,https://getsquire.com/discover/barbershop/louis-barbershop-benfleet
7,Myles & Co - Benfleet,"137 London Road,, Benfleet, ENG, SS7 5UH",Benfleet,England,https://getsquire.com/discover/barbershop/myles-and-co-benfleet-benfleet
8,Bull in a Barbershop,"21A High Street, Billericay, ENG, CM12 9BA",Billericay,England,https://getsquire.com/discover/barbershop/bull-in-a-barbershop-billericay
9,Boho Barber Co,"4A Villiers Square, Bilston, ENG, WV14 6QN",Bilston,England,https://getsquire.com/discover/barbershop/boho-barber-co-bilston
10,STANCE Barbershop,"2a Wilsden Road, Bingley, ENG, BD16 1JP",Bingley,England,https://getsquire.com/discover/barbershop/stance-barbershop-harden
11,Headcase Barbers - Wylde Green,"155 Sutton Road,, Birmingham, ENG, B23 5TN",Birmingham,England,https://getsquire.com/discover/barbershop/headcase-barbers-wylde-green-england
12,BOSS KUTZ BARBERS,"354 Bromford Lane, Birmingham, ENG, B8 2RZ",Birmingham,England,https://getsquire.com/discover/barbershop/boss-kutz-barbers-birmingham
13,KEM Unisex Salon,"3 Old Walsall Rd, Birmingham, ENG, B42 1NN",Birmingham,England,https://getsquire.com/discover/barbershop/kem-unisex-salon-birmingham-1
14,Seven Star Barbers,"Unit 8 Farley Centre, Birmingham, ENG, B24 0LB",Birmingham,England,https://getsquire.com/discover/barbershop/seven-star-barbers-birmingham
